global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward
41, 1, 0, 100, 3, 1, 1, 0.99, 100, 50
42, 2, 0, 90, 0, 1, 1, 0.99, 190, 63.3333
43, 3, 0, 99, 0, 1, 1, 0.99, 289, 72.25
44, 4, 0, 90, 0, 1, 1, 0.99, 379, 75.8
45, 5, 0, 90, 2, 1, 1, 0.99, 469, 78.1667
46, 6, 0, 0, 1, endgame, endgame, endgame, 469, 78.1667
47, 1, 0, 100, 3, 1, 1, 0.99, 100, 50
48, 2, 0, 90, 2, 1, 1, 0.99, 190, 63.3333
49, 3, 0, 90, 3, 1, 1, 0.99, 280, 70
50, 4, 0, 90, 1, 1, 1, 0.99, 370, 74
51, 5, 1, 99, 0, 1, 1, 0.99, 469, 78.1667
