cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward
400, 5, 0, 0, 1, 1, 0.999, 208, 4
401, 9, 9, 1, 1, 1, 0.999, 217, 4.09434
402, 10, 9, 3, 1, 1, 0.999, 226, 4.18519
403, 9, 9, 0, 1, 1, 0.999, 235, 4.27273
404, 9, 0, 1, 1, 1, 0.999, 235, 4.19643
405, 10, 9, 0, 1, 1, 0.999, 244, 4.2807
406, 10, 0, 2, 1, 1, 0.999, 244, 4.2069
407, 10, 0, 0, 1, 1, 0.999, 244, 4.13559
408, 10, 0, 1, 1, 1, 0.999, 244, 4.06667
409, 8, 9, 1, 1, 1, 0.999, 253, 4.14754
410, 10, 9, 3, 1, 1, 0.999, 262, 4.22581
411, 8, 9, 1, 1, 1, 0.999, 271, 4.30159
412, 10, 9, 1, 1, 1, 0.999, 280, 4.375
413, 12, 9, 2, 1, 1, 0.999, 289, 4.44615
414, 5, 9, 3, 1, 1, 0.999, 298, 4.51515
415, 5, 0, 1, 1, 1, 0.999, 298, 4.44776
416, 5, 0, 2, 1, 1, 0.999, 298, 4.38235
417, 7, 9, 1, 1, 1, 0.999, 307, 4.44928
418, 7, 0, 1, 1, 1, 0.999, 307, 4.38571
419, 7, 0, 0, 1, 1, 0.999, 307, 4.32394
420, 5, 9, 1, 1, 1, 0.999, 316, 4.38889
421, 5, 0, 3, 1, 1, 0.999, 316, 4.32877
422, 5, 0, 3, 1, 1, 0.999, 316, 4.27027
423, 5, 0, 2, 1, 1, 0.999, 316, 4.21333
424, 7, 9, 3, 1, 1, 0.999, 325, 4.27632
425, 7, 0, 0, 1, 1, 0.999, 325, 4.22078
426, 5, 9, 0, 1, 1, 0.999, 334, 4.28205
427, 12, 9, 2, 1, 1, 0.999, 343, 4.34177
428, 5, 9, 0, 1, 1, 0.999, 352, 4.4
429, 12, 9, 0, 1, 1, 0.999, 361, 4.45679
430, 12, 0, 3, 1, 1, 0.999, 361, 4.40244
431, 10, 9, 2, 1, 1, 0.999, 370, 4.45783
432, 10, 0, 0, 1, 1, 0.999, 370, 4.40476
433, 10, 0, 2, 1, 1, 0.999, 370, 4.35294
434, 10, 0, 1, 1, 1, 0.999, 370, 4.30233
435, 12, 9, 1, 1, 1, 0.999, 379, 4.35632
436, 12, 0, 3, 1, 1, 0.999, 379, 4.30682
437, 10, 9, 2, 1, 1, 0.999, 388, 4.35955
438, 10, 0, 3, 1, 1, 0.999, 388, 4.31111
439, 8, 9, 3, 1, 1, 0.999, 397, 4.36264
440, 10, 9, 0, 1, 1, 0.999, 406, 4.41304
441, 10, 0, 0, 1, 1, 0.999, 406, 4.36559
442, 10, 0, 2, 1, 1, 0.999, 406, 4.31915
443, 10, 0, 2, 1, 1, 0.999, 406, 4.27368
444, 10, 0, 0, 1, 1, 0.999, 406, 4.22917
445, 10, 0, 2, 1, 1, 0.999, 406, 4.18557
446, 10, 0, 1, 1, 1, 0.999, 406, 4.14286
447, 8, 9, 0, 1, 1, 0.999, 415, 4.19192
